in s,C1 in V
-1.9583680E-02,1.18246E+01
-1.9583376E-02,1.18246E+01
-1.9583072E-02,1.18246E+01
-1.9582768E-02,1.18246E+01
-1.9582464E-02,1.18246E+01
-1.9582160E-02,1.18051E+01
-1.9581856E-02,1.17270E+01
-1.9581552E-02,1.17270E+01
-1.9581248E-02,1.18246E+01
-1.9580944E-02,1.18051E+01
-1.9580640E-02,1.17465E+01
-1.9580336E-02,1.18441E+01
-1.9580032E-02,1.17660E+01
-1.9579728E-02,1.17855E+01
-1.9579424E-02,1.17660E+01
-1.9579120E-02,1.17660E+01
-1.9578816E-02,1.17465E+01
-1.9578512E-02,1.18441E+01
-1.9578208E-02,1.17465E+01
-1.9577904E-02,1.17660E+01
-1.9577600E-02,1.18441E+01
-1.9577296E-02,1.18637E+01
-1.9576992E-02,1.17660E+01
-1.9576688E-02,1.17855E+01
-1.9576384E-02,1.17855E+01
-1.9576080E-02,1.18246E+01
-1.9575776E-02,1.18637E+01
-1.9575472E-02,1.18441E+01
-1.9575168E-02,1.17465E+01
-1.9574864E-02,1.18246E+01
-1.9574560E-02,1.17465E+01
-1.9574256E-02,1.17465E+01
-1.9573952E-02,1.17465E+01
-1.9573648E-02,1.17465E+01
-1.9573344E-02,1.17660E+01
-1.9573040E-02,1.17855E+01
-1.9572736E-02,1.18246E+01
-1.9572432E-02,1.18246E+01
-1.9572128E-02,1.18051E+01
-1.9571824E-02,1.18246E+01
-1.9571520E-02,1.18246E+01
-1.9571216E-02,1.18246E+01
-1.9570912E-02,1.18832E+01
-1.9570608E-02,1.18051E+01
-1.9570304E-02,1.18051E+01
-1.9570000E-02,1.18637E+01
-1.9569696E-02,1.18051E+01
-1.9569392E-02,1.17660E+01
-1.9569088E-02,1.18051E+01
-1.9568784E-02,1.17855E+01
-1.9568480E-02,1.17855E+01
-1.9568176E-02,1.18246E+01
-1.9567872E-02,1.17855E+01
-1.9567568E-02,1.17855E+01
-1.9567264E-02,1.17465E+01
-1.9566960E-02,1.17465E+01
-1.9566656E-02,1.18051E+01
-1.9566352E-02,1.18246E+01
-1.9566048E-02,1.17660E+01
-1.9565744E-02,1.18246E+01
-1.9565440E-02,1.18246E+01
-1.9565136E-02,1.17660E+01
-1.9564832E-02,1.17465E+01
-1.9564528E-02,1.17660E+01
-1.9564224E-02,1.17660E+01
-1.9563920E-02,1.18246E+01
