in s,C1 in V
-1.7224691E-02,1.193515E+01
-1.7224426E-02,1.193320E+01
-1.7224160E-02,1.193905E+01
-1.7223894E-02,1.193710E+01
-1.7223629E-02,1.194296E+01
-1.7223363E-02,1.193515E+01
-1.7223098E-02,1.193320E+01
-1.7222832E-02,1.193124E+01
-1.7222566E-02,1.193905E+01
-1.7222301E-02,1.193710E+01
-1.7222035E-02,1.193515E+01
-1.7221770E-02,1.193710E+01
-1.7221504E-02,1.193515E+01
-1.7221238E-02,1.193905E+01
-1.7220973E-02,1.193320E+01
-1.7220707E-02,1.193905E+01
-1.7220442E-02,1.193710E+01
-1.7220176E-02,1.192148E+01
-1.7219910E-02,1.193710E+01
-1.7219645E-02,1.193710E+01
-1.7219379E-02,1.193905E+01
-1.7219114E-02,1.193124E+01
-1.7218848E-02,1.193710E+01
-1.7218582E-02,1.192929E+01
-1.7218317E-02,1.194296E+01
-1.7218051E-02,1.193515E+01
-1.7217786E-02,1.193905E+01
-1.7217520E-02,1.193710E+01
-1.7217254E-02,1.194101E+01
-1.7216989E-02,1.193710E+01
-1.7216723E-02,1.194101E+01
-1.7216458E-02,1.194101E+01
-1.7216192E-02,1.193320E+01
-1.7215926E-02,1.193710E+01
-1.7215661E-02,1.194101E+01
-1.7215395E-02,1.193124E+01
-1.7215130E-02,1.192929E+01
-1.7214864E-02,1.193515E+01
-1.7214598E-02,1.193710E+01
-1.7214333E-02,1.193124E+01
-1.7214067E-02,1.193710E+01
-1.7213802E-02,1.193710E+01
-1.7213536E-02,1.194296E+01
-1.7213270E-02,1.193710E+01
-1.7213005E-02,1.193320E+01
-1.7212739E-02,1.194296E+01
-1.7212474E-02,1.193515E+01
-1.7212208E-02,1.193710E+01
-1.7211942E-02,1.193710E+01
-1.7211677E-02,1.194101E+01
-1.7211411E-02,1.193320E+01
-1.7211146E-02,1.193710E+01
-1.7210880E-02,1.193905E+01
-1.7210614E-02,1.194296E+01
-1.7210349E-02,1.193515E+01
-1.7210083E-02,1.193515E+01
-1.7209818E-02,1.193320E+01
-1.7209552E-02,1.193710E+01
-1.7209286E-02,1.194296E+01
-1.7209021E-02,1.193710E+01
-1.7208755E-02,1.193905E+01
-1.7208490E-02,1.193515E+01
-1.7208224E-02,1.193905E+01
-1.7207958E-02,1.193124E+01
-1.7207693E-02,1.193515E+01
-1.7207427E-02,1.193320E+01
-1.7207162E-02,1.193124E+01
-1.7206896E-02,1.193710E+01
